CustomerKey,GeographyKey,Full Name,MaritalStatus,Gender,YearlyIncome,Occupation,DateFirstPurchase,City,State,Country
11000,26,Jon Yang,M,Male,90000.00,Professional,2021-01-19,Rockhampton,Queensland,Australia
11001,37,Eugene Huang,S,Male,60000.00,Professional,2021-01-15,Seaford,Victoria,Australia
11002,31,Ruben Torres,M,Male,60000.00,Professional,2021-01-07,Hobart,Tasmania,Australia
11003,11,Christy Zhu,S,Female,70000.00,Professional,2020-12-29,North Ryde,New South Wales,Australia
11004,19,Elizabeth Johnson,S,Female,80000.00,Professional,2021-01-23,Wollongong,New South Wales,Australia
11005,22,Julio Ruiz,S,Male,70000.00,Professional,2020-12-30,East Brisbane,Queensland,Australia
11006,8,Janet Alvarez,S,Female,70000.00,Professional,2021-01-24,Matraville,New South Wales,Australia
11007,40,Marco Mehta,M,Male,60000.00,Professional,2021-01-09,Warrnambool,Victoria,Australia
11008,32,Rob Verhoff,S,Female,60000.00,Professional,2021-01-25,Bendigo,Victoria,Australia
11009,25,Shannon Carlson,S,Male,70000.00,Professional,2021-01-27,Hervey Bay,Queensland,Australia
11010,22,Jacquelyn Suarez,S,Female,70000.00,Professional,2021-01-14,East Brisbane,Queensland,Australia
11011,22,Curtis Lu,M,Male,60000.00,Professional,2020-12-30,East Brisbane,Queensland,Australia
11012,611,Lauren Walker,M,Female,100000.00,Management,2023-03-16,Bremerton,Washington,United States
11013,543,Ian Jenkins,M,Male,100000.00,Management,2023-04-13,Lebanon,Oregon,United States
11014,634,Sydney Bennett,S,Female,100000.00,Management,2023-03-23,Redmond,Washington,United States
11015,301,Chloe Young,S,Female,30000.00,Skilled Manual,2023-01-18,Burbank,California,United States
11016,329,Wyatt Hill,M,Male,30000.00,Skilled Manual,2023-02-09,Imperial Beach,California,United States
11017,39,Shannon Wang,S,Female,20000.00,Skilled Manual,2021-01-12,Sunbury,Victoria,Australia
11018,32,Clarence Rai,S,Male,30000.00,Clerical,2021-01-17,Bendigo,Victoria,Australia
11019,52,Luke Lal,S,Male,40000.00,Skilled Manual,2023-02-12,Langley,British Columbia,Canada
11020,53,Jordan King,S,Male,40000.00,Skilled Manual,2022-12-29,Metchosin,British Columbia,Canada
11021,536,Destiny Wilson,S,Female,40000.00,Skilled Manual,2023-01-23,Beaverton,Oregon,United States
11022,609,Ethan Zhang,M,Male,40000.00,Skilled Manual,2023-01-20,Bellingham,Washington,United States
11023,298,Seth Edwards,M,Male,40000.00,Skilled Manual,2023-02-17,Bellflower,California,United States
11024,311,Russell Xie,M,Male,60000.00,Skilled Manual,2023-06-27,Concord,California,United States
11025,24,Alejandro Beck,M,Male,10000.00,Clerical,2021-01-06,Hawthorne,Queensland,Australia
11026,4,Harold Sai,S,Male,30000.00,Clerical,2021-01-23,Goulburn,New South Wales,Australia
11027,40,Jessie Zhao,M,Male,30000.00,Clerical,2021-01-16,Warrnambool,Victoria,Australia
11028,17,Jill Jimenez,M,Female,30000.00,Clerical,2021-01-26,St. Leonards,New South Wales,Australia
11029,32,Jimmy Moreno,M,Male,30000.00,Clerical,2021-01-19,Bendigo,Victoria,Australia
11030,28,Bethany Yuan,M,Female,10000.00,Clerical,2021-02-05,Cloverdale,South Australia,Australia
11031,8,Theresa Ramos,M,Female,20000.00,Skilled Manual,2021-02-01,Matraville,New South Wales,Australia
11032,35,Denise Stone,M,Female,20000.00,Skilled Manual,2021-02-18,Melbourne,Victoria,Australia
11033,9,Jaime Nath,M,Male,20000.00,Skilled Manual,2021-02-15,Milsons Point,New South Wales,Australia
11034,12,Ebony Gonzalez,M,Female,20000.00,Skilled Manual,2021-02-01,North Sydney,New South Wales,Australia
11035,33,Wendy Dominguez,M,Female,10000.00,Clerical,2021-02-06,Cranbourne,Victoria,Australia
11036,343,Jennifer Russell,M,Female,60000.00,Skilled Manual,2023-01-22,National City,California,United States
11037,49,Chloe Garcia,S,Female,40000.00,Clerical,2023-01-20,Cliffside,British Columbia,Canada
11038,6,Diana Hernandez,M,Female,10000.00,Clerical,2021-02-07,Lavender Bay,New South Wales,Australia
11039,19,Marc Martin,M,Male,30000.00,Clerical,2021-02-07,Wollongong,New South Wales,Australia
11040,642,Jesse Murphy,M,Male,30000.00,Skilled Manual,2023-04-03,Tacoma,Washington,United States
11041,325,Amanda Carter,M,Female,60000.00,Skilled Manual,2023-01-14,Glendale,California,United States
11042,338,Megan Sanchez,M,Female,70000.00,Skilled Manual,2023-01-21,Los Angeles,California,United States
11043,325,Nathan Simmons,M,Male,60000.00,Skilled Manual,2023-05-08,Glendale,California,United States
11044,25,Adam Flores,M,Male,20000.00,Clerical,2021-02-28,Hervey Bay,Queensland,Australia
11045,8,Leonard Nara,S,Male,30000.00,Skilled Manual,2023-04-10,Matraville,New South Wales,Australia
11046,6,Christine Yuan,M,Female,30000.00,Skilled Manual,2021-02-06,Lavender Bay,New South Wales,Australia
